Destination.City,Orgin.City,Satisfaction,Airline.Status,Age,Gender,Price.Sensitivity,Year.of.First.Flight,No.of.Flights.p.a.,X..of.Flight.with.other.Airlines,Type.of.Travel,No..of.other.Loyalty.Cards,Shopping.Amount.at.Airport,Eating.and.Drinking.at.Airport,Class,Day.of.Month,Flight.date,Airline.Code,Airline.Name,Origin.State,Destination.State,Scheduled.Departure.Hour,Departure.Delay.in.Minutes,Arrival.Delay.in.Minutes,Flight.cancelled,Flight.time.in.minutes,Flight.Distance,Arrival.Delay.greater.5.Mins,olong,olat,dlong,dlat
"Houston, TX","San Diego, CA",4,Silver,31,Male,1,2004,10,21,Business travel,1,0,30,Eco,23,1/23/14,WN,Cheapseats Airlines Inc.,California,Texas,9,0,0,No,145,1313,no,-117.128799,32.928728,-95.393531,29.784308
"San Francisco, CA","Chicago, IL",5,Blue,36,Male,1,2003,7,9,Business travel,1,0,110,Eco,28,3/28/14,OU,Oursin Airlines Inc.,Illinois,California,12,5,0,No,252,1846,no,-87.895427,41.827126,-122.383287,37.754645
"Atlanta, GA","Detroit, MI",2,Blue,72,Female,1,2003,24,1,Personal Travel,0,90,110,Eco,3,1/3/14,DL,Sigma Airlines Inc.,Michigan,Georgia,13,78,67,No,84,594,yes,-83.227554,42.490005,-84.331858,33.824102
"St. Louis, MO","Houston, TX",3,Blue,15,Female,1,2009,49,5,Personal Travel,2,5,10,Eco,11,3/11/14,WN,Cheapseats Airlines Inc.,Texas,Missouri,20,0,0,No,91,687,no,-95.393531,29.784308,-90.340926,38.630705
"Columbia, SC","Atlanta, GA",4,Blue,35,Male,1,2007,7,10,Mileage tickets,0,0,65,Eco,11,3/11/14,DL,Sigma Airlines Inc.,Georgia,South Carolina,20,1,0,No,36,192,no,-84.331858,33.824102,-81.077207,34.036236
"Anchorage, AK","Barrow, AK",4,Blue,56,Female,1,2010,13,5,Business travel,0,0,75,Eco Plus,12,1/12/14,AS,FlyToSun Airlines Inc.,Alaska,Alaska,18,0,0,No,97,725,no,-156.764378,71.29367,-149.847166,61.167916
"Detroit, MI","Madison, WI",5,Blue,40,Female,1,2004,15,11,Business travel,3,90,53,Eco,9,1/9/14,DL,Sigma Airlines Inc.,Wisconsin,Michigan,16,0,0,No,53,311,no,-89.250087,43.025075,-83.227554,42.490005
"Seattle, WA","Salt Lake City, UT",4,Blue,32,Female,1,2003,17,9,Business travel,3,0,15,Business,13,3/13/14,DL,Sigma Airlines Inc.,Utah,Washington,21,0,0,No,101,689,no,-111.929515,40.640838,-122.274661,47.468409
"Atlanta, GA","Houston, TX",4,Blue,36,Female,2,2005,27,33,Business travel,1,0,30,Eco,10,3/10/14,DL,Sigma Airlines Inc.,Texas,Georgia,16,1,0,No,99,689,no,-95.393531,29.784308,-84.331858,33.824102
"Atlanta, GA","Portland, OR",4,Blue,31,Female,1,2010,28,9,Business travel,2,10,80,Eco,4,1/4/14,AS,FlyToSun Airlines Inc.,Oregon,Georgia,9,0,0,No,252,2172,no,-122.651087,45.520404,-84.331858,33.824102
"Miami, FL","Washington, DC",4,Blue,43,Female,2,2008,10,9,Business travel,0,0,45,Eco,3,1/3/14,AA,Paul Smith Airlines Inc.,Virginia,Florida,14,7,0,No,142,921,no,-77.18974,38.897394,-80.231428,26.175616
"Seattle, WA","San Jose, CA",4,Blue,44,Female,1,2006,8,23,Business travel,1,0,60,Eco Plus,12,2/12/14,AS,FlyToSun Airlines Inc.,California,Washington,15,0,0,No,102,697,no,-121.945145,37.329845,-122.274661,47.468409
"Las Vegas, NV","Los Angeles, CA",4,Gold,38,Female,2,2009,12,16,Business travel,2,30,60,Eco,18,2/18/14,WN,Cheapseats Airlines Inc.,California,Nevada,21,0,0,No,47,236,no,-118.104332,33.982668,-115.167218,36.134893
"Charlotte, NC","Washington, DC",4,Silver,43,Male,1,2005,16,6,Business travel,2,0,30,Business,5,2/5/14,US,Southeast Airlines Co.,Virginia,North Carolina,17,0,11,No,80,331,yes,-77.18974,38.897394,-80.815826,35.249654
"Washington, DC","Seattle, WA",5,Gold,28,Female,2,2011,10,10,Business travel,0,55,20,Eco,5,3/5/14,AS,FlyToSun Airlines Inc.,Washington,Virginia,14,0,0,No,265,2329,no,-122.274661,47.468409,-77.18974,38.897394
"Providence, RI","Tampa, FL",4,Blue,35,Male,1,2007,3,7,Business travel,2,0,60,Eco,19,3/19/14,WN,Cheapseats Airlines Inc.,Florida,Rhode Island,20,0,0,No,136,1136,no,-82.513188,28.006247,-71.397401,41.776323
"Atlanta, GA","Birmingham, AL",4,Silver,37,Female,1,2008,4,29,Personal Travel,4,0,95,Eco,4,1/4/14,EV,FlyFast Airways Inc.,Alabama,Georgia,8,1,2,No,30,134,no,-86.791974,33.469107,-84.331858,33.824102
"Phoenix, AZ","Anchorage, AK",5,Blue,46,Female,1,2004,34,22,Business travel,2,90,100,Eco,13,3/13/14,US,Southeast Airlines Co.,Alaska,Arizona,1,0,0,No,312,2552,no,-149.847166,61.167916,-111.970041,33.494067
"Wichita, KS","Dallas, TX",5,Silver,33,Male,2,2005,23,8,Business travel,0,0,105,Eco Plus,5,1/5/14,WN,Cheapseats Airlines Inc.,Texas,Kansas,16,115,102,No,50,333,yes,-96.972001,32.812727,-97.327333,37.679735
"Tucson, AZ","Denver, CO",2,Blue,28,Male,1,2003,56,2,Personal Travel,0,0,30,Eco,5,1/5/14,EV,FlyFast Airways Inc.,Colorado,Arizona,8,8,36,No,97,639,yes,-104.955096,39.710774,-110.946141,32.254891
"Fresno, CA","Las Vegas, NV",2,Blue,61,Male,1,2008,56,7,Business travel,0,0,150,Eco,5,1/5/14,OO,Northwest Business Airlines Inc.,Nevada,California,17,32,16,No,57,259,yes,-115.167218,36.134893,-119.761114,36.787755
"Atlanta, GA","Grand Rapids, MI",3,Blue,22,Female,2,2011,9,38,Personal Travel,1,20,15,Eco,23,1/23/14,DL,Sigma Airlines Inc.,Michigan,Georgia,17,0,0,No,97,640,no,-85.6686,42.942857,-84.331858,33.824102
"Atlanta, GA","Denver, CO",3,Blue,43,Female,1,2003,5,15,Business travel,3,45,30,Eco,7,1/7/14,WN,Cheapseats Airlines Inc.,Colorado,Georgia,13,63,55,No,141,1199,yes,-104.955096,39.710774,-84.331858,33.824102
"New York, NY","Chicago, IL",5,Silver,48,Female,1,2010,9,1,Business travel,1,0,30,Eco,29,3/29/14,AA,Paul Smith Airlines Inc.,Illinois,New York,19,0,0,No,97,733,no,-87.895427,41.827126,-73.970221,40.718357
"Sacramento, CA","Denver, CO",5,Gold,32,Male,1,2009,31,37,Business travel,2,60,45,Eco,22,2/22/14,WN,Cheapseats Airlines Inc.,Colorado,California,9,0,0,No,137,909,no,-104.955096,39.710774,-121.324669,38.638578
"Philadelphia, PA","Denver, CO",5,Platinum,32,Female,1,2008,15,10,Business travel,0,30,110,Eco Plus,4,2/4/14,OU,Oursin Airlines Inc.,Colorado,Pennsylvania,9,5,12,No,174,1558,yes,-104.955096,39.710774,-75.298163,39.973331
"Indianapolis, IN","Miami, FL",5,Silver,47,Female,1,2010,47,9,Business travel,0,0,10,Eco,15,1/15/14,MQ,EnjoyFlying Air Services,Florida,Indiana,18,0,0,No,139,1020,no,-80.231428,26.175616,-86.145521,39.811262
"Seattle, WA","Atlanta, GA",3,Blue,40,Female,2,2006,12,1,Business travel,3,75,125,Eco,20,3/20/14,DL,Sigma Airlines Inc.,Georgia,Washington,20,19,31,No,310,2182,yes,-84.331858,33.824102,-122.274661,47.468409
"Atlanta, GA","Pittsburgh, PA",4,Silver,34,Female,1,2003,22,12,Business travel,2,41,58,Eco Plus,20,2/20/14,FL,FlyHere Airways,Pennsylvania,Georgia,6,1,1,No,88,526,no,-79.951005,40.456961,-84.331858,33.824102
"Detroit, MI","Atlanta, GA",5,Gold,39,Male,1,2003,18,16,Business travel,2,0,140,Business,27,3/27/14,DL,Sigma Airlines Inc.,Georgia,Michigan,10,0,0,No,95,594,no,-84.331858,33.824102,-83.227554,42.490005
"Savannah, GA","Washington, DC",2,Blue,46,Male,2,2010,33,7,Personal Travel,0,0,180,Eco,4,2/4/14,EV,FlyFast Airways Inc.,Virginia,Georgia,12,0,14,No,100,515,yes,-77.18974,38.897394,-81.151732,32.044851
"Salt Lake City, UT","Fargo, ND",5,Platinum,43,Female,1,2009,8,19,Business travel,2,40,75,Eco,3,1/3/14,OO,Northwest Business Airlines Inc.,North Dakota,Utah,18,8,40,No,139,866,yes,-96.82068,46.86245,-111.929515,40.640838
"Missoula, MT","Denver, CO",4,Blue,25,Female,2,2004,13,31,Business travel,2,120,60,Eco Plus,13,1/13/14,OO,Northwest Business Airlines Inc.,Colorado,Montana,9,0,2,No,115,679,no,-104.955096,39.710774,-114.034222,46.87396
"Charlotte, NC","Hartford, CT",5,Gold,49,Male,1,2010,41,8,Business travel,2,170,150,Eco,23,1/23/14,US,Southeast Airlines Co.,Connecticut,North Carolina,19,0,0,No,114,644,no,-72.69883,41.740122,-80.815826,35.249654
"Idaho Falls, ID","Salt Lake City, UT",4,Blue,31,Male,1,2009,25,8,Business travel,0,10,60,Business,17,2/17/14,OO,Northwest Business Airlines Inc.,Utah,Idaho,13,0,0,No,37,188,no,-111.929515,40.640838,-112.00085,43.495177
"Minneapolis, MN","Portland, OR",3,Blue,17,Female,2,2012,25,5,Business travel,1,120,50,Eco,11,3/11/14,DL,Sigma Airlines Inc.,Oregon,Minnesota,7,0,0,No,174,1426,no,-122.651087,45.520404,-93.2798,44.978156
"Denver, CO","Miami, FL",4,Blue,40,Male,2,2008,47,10,Mileage tickets,4,0,120,Eco,16,2/16/14,OU,Oursin Airlines Inc.,Florida,Colorado,17,0,0,No,239,1709,no,-80.231428,26.175616,-104.955096,39.710774
"Sacramento, CA","Seattle, WA",5,Blue,53,Male,1,2011,33,1,Personal Travel,0,0,105,Eco,1,1/1/14,WN,Cheapseats Airlines Inc.,Washington,California,12,38,31,No,83,605,yes,-122.274661,47.468409,-121.324669,38.638578
"Denver, CO","Minneapolis, MN",3,Blue,16,Male,1,2012,54,2,Personal Travel,3,0,120,Eco,17,3/17/14,DL,Sigma Airlines Inc.,Minnesota,Colorado,7,0,0,No,95,680,no,-93.2798,44.978156,-104.955096,39.710774
"San Diego, CA","Los Angeles, CA",3,Blue,19,Female,1,2004,24,1,Mileage tickets,0,0,75,Eco,28,1/28/14,MQ,EnjoyFlying Air Services,California,California,7,0,13,No,29,109,yes,-118.104332,33.982668,-117.128799,32.928728
"Los Angeles, CA","Sacramento, CA",4,Blue,31,Male,2,2012,0,13,Business travel,2,0,70,Eco,17,1/17/14,OO,Northwest Business Airlines Inc.,California,California,10,0,0,No,65,373,no,-121.324669,38.638578,-118.104332,33.982668
"Salt Lake City, UT","Portland, OR",4,Blue,52,Female,2,2008,3,1,Mileage tickets,0,0,100,Eco,15,3/15/14,WN,Cheapseats Airlines Inc.,Oregon,Utah,15,0,0,No,77,630,no,-122.651087,45.520404,-111.929515,40.640838
"Houston, TX","New Orleans, LA",4,Blue,54,Female,1,2006,9,6,Business travel,0,25,65,Eco,27,3/27/14,EV,FlyFast Airways Inc.,Louisiana,Texas,19,0,0,No,64,305,no,-90.143683,29.954653,-95.393531,29.784308
"Atlanta, GA","Alexandria, LA",4,Silver,55,Female,1,2008,17,2,Business travel,1,180,30,Eco,6,2/6/14,EV,FlyFast Airways Inc.,Louisiana,Georgia,6,0,0,No,66,500,no,-92.539847,31.298299,-84.331858,33.824102
"Rochester, NY","Chicago, IL",3,Blue,59,Female,1,2007,30,7,Business travel,0,0,60,Business,13,3/13/14,OU,Oursin Airlines Inc.,Illinois,New York,18,4,4,No,71,528,no,-87.895427,41.827126,-77.568207,43.137608
"Los Angeles, CA","San Diego, CA",4,Blue,40,Male,1,2011,0,7,Business travel,1,0,0,Eco,5,1/5/14,MQ,EnjoyFlying Air Services,California,California,12,0,3,No,24,109,no,-117.128799,32.928728,-118.104332,33.982668
"Orlando, FL","Hartford, CT",2,Gold,37,Female,2,2003,23,4,Business travel,0,0,75,Eco,21,3/21/14,WN,Cheapseats Airlines Inc.,Connecticut,Florida,13,35,28,No,147,1050,yes,-72.69883,41.740122,-81.411184,28.584434
"Panama City, FL","Atlanta, GA",4,Blue,20,Male,1,2007,15,1,Business travel,0,0,30,Eco,20,2/20/14,DL,Sigma Airlines Inc.,Georgia,Florida,10,0,0,No,43,240,no,-84.331858,33.824102,-85.677271,30.194089
"St. Louis, MO","Detroit, MI",2,Gold,73,Female,1,2003,29,9,Personal Travel,0,45,140,Business,21,3/21/14,WN,Cheapseats Airlines Inc.,Michigan,Missouri,8,7,2,No,74,440,no,-83.227554,42.490005,-90.340926,38.630705
"Pittsburgh, PA","Denver, CO",3,Blue,68,Female,2,2009,21,10,Personal Travel,0,20,75,Eco Plus,20,3/20/14,WN,Cheapseats Airlines Inc.,Colorado,Pennsylvania,16,8,0,No,148,1290,no,-104.955096,39.710774,-79.951005,40.456961
"Richmond, VA","Washington, DC",4,Blue,43,Female,1,2006,12,2,Mileage tickets,0,0,65,Eco,8,2/8/14,EV,FlyFast Airways Inc.,Virginia,Virginia,21,0,0,No,22,100,no,-77.18974,38.897394,-77.487983,37.477942
"Boston, MA","Jacksonville, FL",4,Blue,42,Female,1,2012,28,7,Business travel,0,0,262,Eco,24,3/24/14,B6,OnlyJets Airlines Inc.,Florida,Massachusetts,7,0,0,No,125,1010,no,-81.64274,30.24014,-71.140708,42.373132
"Los Angeles, CA","Chicago, IL",3,Blue,43,Male,1,2012,0,10,Business travel,1,0,60,Eco,5,1/5/14,OU,Oursin Airlines Inc.,Illinois,California,18,94,73,No,214,1744,yes,-87.895427,41.827126,-118.104332,33.982668
"Detroit, MI","Denver, CO",5,Silver,34,Male,2,2003,14,16,Personal Travel,2,0,30,Eco,20,2/20/14,F9,GoingNorth Airlines Inc.,Colorado,Michigan,13,31,29,No,142,1123,yes,-104.955096,39.710774,-83.227554,42.490005
"Tampa, FL","Manchester, NH",4,Blue,45,Female,1,2003,7,21,Business travel,2,5,90,Eco,18,2/18/14,WN,Cheapseats Airlines Inc.,New Hampshire,Florida,6,0,0,No,180,1204,no,-71.479666,42.991043,-82.513188,28.006247
"Miami, FL","Denver, CO",3,Blue,46,Female,2,2005,28,9,Business travel,1,0,10,Eco,16,1/16/14,OU,Oursin Airlines Inc.,Colorado,Florida,9,16,12,No,199,1709,yes,-104.955096,39.710774,-80.231428,26.175616
"Charlotte, NC","Chicago, IL",3,Blue,24,Female,1,2010,11,14,Business travel,2,25,75,Eco,13,3/13/14,EV,FlyFast Airways Inc.,Illinois,North Carolina,17,0,0,No,80,599,no,-87.895427,41.827126,-80.815826,35.249654
"Buffalo, NY","Orlando, FL",4,Blue,47,Male,0,2012,15,2,Business travel,0,90,20,Business,15,3/15/14,WN,Cheapseats Airlines Inc.,Florida,New York,6,0,0,No,140,1011,no,-81.411184,28.584434,-78.823675,42.92493
"Phoenix, AZ","Chicago, IL",4,Platinum,39,Female,0,2007,2,19,Business travel,1,0,0,Eco,9,3/9/14,US,Southeast Airlines Co.,Illinois,Arizona,14,21,0,No,171,1440,no,-87.895427,41.827126,-111.970041,33.494067
"San Francisco, CA","Los Angeles, CA",3,Blue,38,Female,2,2008,21,17,Business travel,2,60,60,Eco,12,1/12/14,VX,Cool&Young Airlines Inc.,California,California,13,0,0,No,56,337,no,-118.104332,33.982668,-122.383287,37.754645
"Las Vegas, NV","Phoenix, AZ",4,Blue,33,Female,1,2007,15,8,Business travel,0,2,45,Eco Plus,8,3/8/14,WN,Cheapseats Airlines Inc.,Arizona,Nevada,20,27,38,No,45,255,yes,-111.970041,33.494067,-115.167218,36.134893
"Washington, DC","Orlando, FL",5,Blue,39,Male,1,2003,23,7,Business travel,2,60,15,Eco Plus,15,1/15/14,US,Southeast Airlines Co.,Florida,Virginia,14,14,0,No,88,759,no,-81.411184,28.584434,-77.18974,38.897394
"Houston, TX","Jacksonville, FL",3,Blue,40,Male,1,2004,20,10,Business travel,0,0,0,Eco Plus,18,3/18/14,EV,FlyFast Airways Inc.,Florida,Texas,17,16,4,No,129,817,no,-81.64274,30.24014,-95.393531,29.784308
"Tampa, FL","Charlotte, NC",4,Blue,44,Female,1,2003,16,9,Business travel,1,145,100,Eco,17,2/17/14,US,Southeast Airlines Co.,North Carolina,Florida,17,0,0,No,72,507,no,-80.815826,35.249654,-82.513188,28.006247
"Houston, TX","Orlando, FL",4,Silver,56,Male,1,2007,25,3,Business travel,0,0,60,Eco,23,1/23/14,OU,Oursin Airlines Inc.,Florida,Texas,6,0,3,No,146,854,no,-81.411184,28.584434,-95.393531,29.784308
"Mobile, AL","Atlanta, GA",2,Blue,15,Female,1,2003,4,10,Personal Travel,3,0,30,Eco Plus,17,3/17/14,DL,Sigma Airlines Inc.,Georgia,Alabama,20,8,7,No,56,302,yes,-84.331858,33.824102,-88.163457,30.667396
"Kahului, HI","Lihue, HI",4,Silver,36,Female,1,2004,12,14,Personal Travel,2,30,60,Eco,12,3/12/14,HA,West Airways Inc.,Hawaii,Hawaii,15,0,0,No,35,201,no,-159.361677,21.975754,-156.477892,20.886428
"Buffalo, NY","Orlando, FL",4,Blue,58,Female,1,2009,19,6,Business travel,0,0,75,Eco,19,3/19/14,WN,Cheapseats Airlines Inc.,Florida,New York,10,58,42,No,129,1011,yes,-81.411184,28.584434,-78.823675,42.92493
"Tulsa, OK","Houston, TX",4,Blue,46,Male,1,2008,12,25,Business travel,4,0,25,Business,12,3/12/14,EV,FlyFast Airways Inc.,Texas,Oklahoma,19,0,0,No,66,429,no,-95.393531,29.784308,-95.901334,36.105449
"Houston, TX","Las Vegas, NV",4,Blue,44,Male,1,2005,18,2,Business travel,0,0,65,Eco,4,1/4/14,WN,Cheapseats Airlines Inc.,Nevada,Texas,6,0,0,No,137,1235,no,-115.167218,36.134893,-95.393531,29.784308
"Los Angeles, CA","Atlanta, GA",4,Gold,48,Female,1,2005,17,8,Business travel,1,15,60,Eco,16,1/16/14,DL,Sigma Airlines Inc.,Georgia,California,8,0,25,No,253,1947,yes,-84.331858,33.824102,-118.104332,33.982668
"Orlando, FL","Denver, CO",2,Gold,62,Male,0,2010,0,6,Business travel,0,0,72,Eco,21,1/21/14,F9,GoingNorth Airlines Inc.,Colorado,Florida,15,0,19,No,177,1546,yes,-104.955096,39.710774,-81.411184,28.584434
"New York, NY","San Jose, CA",4,Blue,22,Male,1,2008,5,4,Business travel,0,0,60,Eco,27,2/27/14,B6,OnlyJets Airlines Inc.,California,New York,22,4,0,No,285,2569,no,-121.945145,37.329845,-73.970221,40.718357
"Chicago, IL","Knoxville, TN",4,Blue,22,Male,1,2006,9,1,Business travel,0,30,60,Business,29,1/29/14,EV,FlyFast Airways Inc.,Tennessee,Illinois,9,0,0,No,78,475,no,-84.024448,35.91678,-87.895427,41.827126
"Phoenix, AZ","Charlotte, NC",3,Blue,57,Female,0,2003,12,9,Business travel,0,70,110,Eco Plus,22,2/22/14,US,Southeast Airlines Co.,North Carolina,Arizona,14,0,6,No,268,1773,yes,-80.815826,35.249654,-111.970041,33.494067
"Minneapolis, MN","Cleveland, OH",3,Blue,80,Female,1,2003,7,6,Personal Travel,0,0,180,Eco Plus,31,1/31/14,EV,FlyFast Airways Inc.,Ohio,Minnesota,7,7,0,No,109,622,no,-81.605443,41.443638,-93.2798,44.978156
"Atlanta, GA","Asheville, NC",5,Silver,56,Male,1,2012,12,7,Business travel,0,0,55,Business,18,3/18/14,EV,FlyFast Airways Inc.,North Carolina,Georgia,18,0,11,No,41,164,yes,-82.664713,35.536615,-84.331858,33.824102
"San Francisco, CA","Salt Lake City, UT",2,Blue,71,Female,1,2008,50,2,Personal Travel,1,0,90,Eco,27,1/27/14,OO,Northwest Business Airlines Inc.,Utah,California,17,37,33,No,100,599,yes,-111.929515,40.640838,-122.383287,37.754645
"Baltimore, MD","New Orleans, LA",4,Silver,33,Female,1,2004,9,6,Business travel,0,5,2,Eco,26,1/26/14,WN,Cheapseats Airlines Inc.,Louisiana,Maryland,13,0,3,No,122,998,no,-90.143683,29.954653,-76.64776,39.234099
"Charlotte, NC","Atlanta, GA",4,Silver,61,Female,1,2008,38,6,Business travel,0,0,70,Eco,25,3/25/14,DL,Sigma Airlines Inc.,Georgia,North Carolina,16,14,8,No,40,226,yes,-84.331858,33.824102,-80.815826,35.249654
"Hartford, CT","Atlanta, GA",4,Silver,68,Male,1,2008,8,3,Personal Travel,0,0,90,Eco,30,1/30/14,FL,FlyHere Airways,Georgia,Connecticut,21,13,0,No,109,859,no,-84.331858,33.824102,-72.69883,41.740122
"Washington, DC","Chicago, IL",4,Blue,54,Male,2,2008,17,1,Business travel,0,0,475,Business,6,3/6/14,OU,Oursin Airlines Inc.,Illinois,Virginia,17,0,0,No,91,612,no,-87.895427,41.827126,-77.18974,38.897394
"San Antonio, TX","Phoenix, AZ",1,Blue,24,Female,2,2005,28,2,Personal Travel,0,130,30,Eco,28,3/28/14,OO,Northwest Business Airlines Inc.,Arizona,Texas,15,0,0,No,104,843,no,-111.970041,33.494067,-98.475376,29.514399
"Hartford, CT","Orlando, FL",4,Blue,61,Female,1,2007,14,10,Mileage tickets,0,0,0,Eco Plus,1,2/1/14,B6,OnlyJets Airlines Inc.,Florida,Connecticut,8,0,0,No,128,1050,no,-81.411184,28.584434,-72.69883,41.740122
"Pittsburgh, PA","Baltimore, MD",2,Blue,72,Female,1,2012,31,2,Personal Travel,0,195,235,Eco,3,3/3/14,WN,Cheapseats Airlines Inc.,Maryland,Pennsylvania,18,50,51,No,38,210,yes,-76.64776,39.234099,-79.951005,40.456961
"Los Angeles, CA","San Luis Obispo, CA",5,Gold,52,Male,1,2007,8,1,Business travel,0,5,40,Eco,16,2/16/14,OO,Northwest Business Airlines Inc.,California,California,14,0,0,No,39,156,no,-120.665546,35.279183,-118.104332,33.982668
"Houston, TX","New Orleans, LA",4,Silver,40,Female,2,2003,33,6,Business travel,1,30,15,Eco,11,3/11/14,WN,Cheapseats Airlines Inc.,Louisiana,Texas,9,0,0,No,60,302,no,-90.143683,29.954653,-95.393531,29.784308
"Atlanta, GA","Savannah, GA",3,Gold,62,Female,1,2008,6,10,Business travel,0,0,20,Business,20,2/20/14,DL,Sigma Airlines Inc.,Georgia,Georgia,13,2,6,No,38,214,yes,-81.151732,32.044851,-84.331858,33.824102
"Denver, CO","El Paso, TX",4,Blue,34,Female,2,2006,18,22,Business travel,4,0,15,Eco,25,3/25/14,OO,Northwest Business Airlines Inc.,Texas,Colorado,7,0,0,No,89,563,no,-106.389031,31.780239,-104.955096,39.710774
"Chicago, IL","Houston, TX",2,Gold,80,Female,1,2011,42,1,Personal Travel,0,0,50,Eco,18,2/18/14,WN,Cheapseats Airlines Inc.,Texas,Illinois,17,0,0,No,121,937,no,-95.393531,29.784308,-87.895427,41.827126
"Atlanta, GA","Salt Lake City, UT",3,Blue,36,Male,1,2003,8,8,Business travel,3,0,100,Eco,29,3/29/14,DL,Sigma Airlines Inc.,Utah,Georgia,11,0,0,No,184,1590,no,-111.929515,40.640838,-84.331858,33.824102
"Chicago, IL","Denver, CO",5,Blue,68,Male,2,2003,14,4,Business travel,0,0,45,Eco,15,3/15/14,AA,Paul Smith Airlines Inc.,Colorado,Illinois,6,0,0,No,107,888,no,-104.955096,39.710774,-87.895427,41.827126
"Las Vegas, NV","Los Angeles, CA",4,Silver,72,Female,1,2007,19,6,Personal Travel,0,0,120,Eco,25,3/25/14,DL,Sigma Airlines Inc.,California,Nevada,12,0,0,No,45,236,no,-118.104332,33.982668,-115.167218,36.134893
